Account {0} has been deactivated, Tài khoản {0} đã bị vô hiệu hóa,
Account {0} is already registered, Tài khoản {0} đã được đăng ký trước đó,
Invalid or Expired Key, Khóa không hợp lệ hoặc đã hết hạn,
The name must not be left empty, Tên không được để trống,
The phone number must not be left empty, Số điện thoại không được để trống,
The password must not be left empty, Mật khẩu không được để trống,
The country must not be left empty, Quốc gia không được để trống,
Please select a valid country name, Vui lòng chọn tên quốc gia hợp lệ,
Please accept our Terms of Service and Privacy Policy to continue, Vui lòng chấp nhận Điều khoản Dịch vụ và Chính sách Quyền riêng tư của chúng tôi để tiếp tục,
No registered account with this email address, Không có tài khoản đăng ký nào với địa chỉ email này,
Only team owner can disable the account, Chỉ chủ nhóm mới có thể vô hiệu hóa tài khoản,
Only team owner can enable the account, Chỉ chủ nhóm mới có thể kích hoạt tài khoản,
Child Team {0} already exists., Nhóm con {0} đã tồn tại.,
Child team name cannot be same as parent team, Tên của nhóm con không thể giống với tên của nhóm cha,
Child team has Active Sites, Nhóm con có các tổ chức hoạt động,
Cannot leave this team as you are the owner., Bạn không thể rời khỏi nhóm này vì bạn là chủ nhóm.,
You cannot create a new bench because your account is disabled, Bạn không thể tạo một bench mới vì tài khoản của bạn đã bị vô hiệu hóa,
A bench exists with the same name, Một bench đã tồn tại với cùng tên,
You can only create benches on your servers, Bạn chỉ có thể tạo các bench trên các máy chủ của bạn,
Need all required dependencies, Cần tất cả các phụ thuộc cần thiết,
Invalid dependencies, Các phụ thuộc không hợp lệ,
Invalid dependency, Phụ thuộc không hợp lệ,
Invalid version for, Phiên bản không hợp lệ cho,
Bench can only be deployed by the bench owner, Bench chỉ có thể được triển khai bởi chủ sở hữu của Bench,
A deploy for this bench is already in progress, Một quá trình triển khai cho bench này đã đang được tiến hành,
More than 2 regions for bench not allowed, Không được phép có hơn 2 khu vực cho bench,
"Unable to deposit funds at the moment, please try again later","Chưa thể nạp tiền ngay lúc này, vui lòng thử lại sau",
Please settle the payment for the previous deposit transaction, Vui lòng thanh toán giao dịch nạp tiền trước đó,
Transaction not found, Không tìm thấy giao dịch,
The transaction has been canceled previously, Giao dịch đã được hủy trước đó,
Unable to cancel the transaction at this time, Chưa thể hủy giao dịch ngay lúc này,
Cancellation failed, Hủy thất bại,
Parenttype{0} Parent and Parentfield are required to insert a child record, Parenttype{0} Parent và Parentfield là bắt buộc để chèn một bản ghi con,
Failed to get method for command {0} with {1}, Không thể lấy phương thức cho lệnh {0} với {1},
current_team is not set. Use X-PRESS-TEAM header in the request to set it., current_team không được thiết lập. Sử dụng tiêu đề X-PRESS-TEAM trong yêu cầu để thiết lập nó.,
Files {0} does not exist inside {2}/{3} directory., Tệp {0} không tồn tại trong thư mục {2}/{3},
Files {0} do not exist in app directory., Tệp {0} không tồn tại trong thư mục ứng dụng.,
Not a valid Frappe App! {0}, Không phải là ứng dụng Frappe hợp lệ! {0},
No approval request exists for the given app release, Không có yêu cầu phê duyệt nào tồn tại cho phiên bản ứng dụng đã cho,
The request for the given app release was not rejected!, Yêu cầu cho phiên bản ứng dụng đã cho không bị từ chối!,
The app {0} already exists and is owned by some other team., Ứng dụng {0} đã tồn tại và đang thuộc sở hữu của một nhóm khác.,
A marketplace app already exists with the given versions!, Một ứng dụng thị trường đã tồn tại với các phiên bản đã cho!,
You cannot upgrade to paid plan on Free Credits. Please buy credits before trying to upgrade plan., Bạn không thể nâng cấp lên gói trả phí khi sử dụng Tín dụng Miễn phí. Vui lòng mua tín dụng trước khi cố gắng nâng cấp gói.,
